raw,result
Vaginal discharge,Vulvovaginal candidiasis
"""Fever, prolonged""",Febrile neutropenia / neutropenic fever
Bilateral Hearing aid,Human immunodeficiency virus infection
Right Ganglion foot,Diabetic foot infection
Left Tonsillitis,Left ventricular assist device infection
Onychomycosis,Onychomycosis
Vulval lesion,Non-Match
Herpes Simplex genitalis,Herpes simplex virus oesophagitis
Referral letter,Non-Match
Migraine with aura,Non-Match
STD fear,Non-Match
Fibromyalgia,Non-Match
"""Warts, genital""",Anogenital warts
Left Paronychia,Left ventricular assist device infection
malar rash,Malaria prophylaxis
Mycoplasma genitalium cervicitis,Mycoplasma genitalium
Folliculitis,Folliculitis
Acute  Submandibular space infection,Acute otitis media
Ischio-rectal abscess,Perianal / anorectal abscess
Bacteuria,Non-Match
Wound care,Post-traumatic wound infection
Acute Left Otitis media,Acute otitis media
"""Moderate, Acute Bilateral Barotrauma to ear""",Acute otitis media
"""Sebaceous cyst, infected? - early""",Infected sebaceous cyst
Follow up,Chronic suppurative otitis media
Glandular fever ?,Epstein-Barr virus
Rash,Nappy rash
Nose pain,Non-Match
Areolar gland blockage,Non-Match
Skin lesion,"Skin and soft tissue infection, other"
Chronic Bilateral Tinnitus,Chronic sinusitis
Right Otitis externa,Chronic otitis externa
Tenesmus,Non-Match
Hair loss,Non-Match
Malaria prophylaxis,Malaria prophylaxis
"""Acute UTI, recurrent""","Acute pyelonephritis / urosepsis, pathogen unknown"
Furuncle,Non-Match
Check up,Chronic suppurative otitis media
Wrist injury,Non-Match
Streptococcal pharyngitis,Pharyngitis
Right Stye,Stye
HSV2 Infection,Bartonella henselae infection (cat scratch)
Genital herpes type 1,Herpes simplex virus anogenital
Lower Respiratory Tract Infection,"Viral respiratory infection, other pathogen(s)"
Vrial infection,Bartonella henselae infection (cat scratch)
Shingles ?,Varicella (herpes) zoster virus - shingles
Conjunctivitis,Bacterial conjunctivitis
Hypertension,Non-Match
Bilateral Conjunctivitis,Bacterial conjunctivitis
"""Bilateral Sinusitis, maxillary""",Chronic sinusitis
"""Moderate, Acute Folliculitis""",Acute otitis media
Chronic Balanitis,Chronic sinusitis
Chlamydia Infection,Chlamydia genitourinary infection
