raw,result
Lower Respiratory Tract Infection,Non-Match
Vrial infection,Non-Match
Shingles ?,Varicella (herpes) zoster virus - shingles
Conjunctivitis,Non-Match
Hypertension,Non-Match
Bilateral Conjunctivitis,Non-Match
"""Bilateral Sinusitis, maxillary""",Non-Match
"""Moderate, Acute Folliculitis""",Folliculitis
Chronic Balanitis,Balanitis
Chlamydia Infection,Chlamydia genitourinary infection
